2016-09-27 02:13:24,825 : INFO : Machine : Mission Pinball Framework Core Engine v0.31.3
2016-09-27 02:13:24,829 : INFO : Machine : Machine path: /home/sysop/robotech
2016-09-27 02:13:26,284 : INFO : Machine : Loading cached config: /tmp/b22896e0955c8faa276a6ac3f6f5f4b5config
2016-09-27 02:13:26,393 : INFO : FAST : Connecting to /dev/ttyUSB1 at 921600bps
2016-09-27 02:13:26,403 : INFO : FAST : Connected! Processor: NET, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:13:26,420 : INFO : FAST : Connecting to /dev/ttyUSB2 at 921600bps
2016-09-27 02:13:26,426 : INFO : FAST : Connected! Processor: RGB, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:13:26,755 : WARNING : SwitchController : Received a status update from hardware switch ('1F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,758 : WARNING : SwitchController : Received a status update from hardware switch ('37', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,761 : WARNING : SwitchController : Received a status update from hardware switch ('17', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,764 : WARNING : SwitchController : Received a status update from hardware switch ('2F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,767 : WARNING : SwitchController : Received a status update from hardware switch ('0F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,770 : WARNING : SwitchController : Received a status update from hardware switch ('27', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:27,464 : INFO : SwitchController : Active Switch|s_trough3
2016-09-27 02:13:27,467 : INFO : SwitchController : Active Switch|s_middle_drop_target
2016-09-27 02:13:27,470 : INFO : SwitchController : Active Switch|s_trough2
2016-09-27 02:13:27,473 : INFO : SwitchController : Active Switch|s_trough1
2016-09-27 02:13:27,475 : INFO : SwitchController : Active Switch|s_right_drop_target
2016-09-27 02:13:27,480 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-09-27 02:13:27,508 : WARNING : FAST : Port RGB received more messages than were sent! Resetting!
2016-09-27 02:13:49,424 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:49,611 : INFO : SwitchController : <<<<< switch: s_top_r_pop_bumper, State:1 >>>>>
2016-09-27 02:13:49,631 : INFO : SwitchController : <<<<< switch: s_top_r_pop_bumper, State:0 >>>>>
2016-09-27 02:13:50,176 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:1 >>>>>
2016-09-27 02:13:50,193 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:50,611 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-27 02:13:50,634 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:50,759 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-27 02:13:50,781 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:53,916 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:13:54,051 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:13:54,065 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:13:54,084 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:13:54,100 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:13:54,121 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:13:54,127 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:13:54,255 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:13:55,516 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-27 02:13:55,531 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:55,761 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-27 02:13:55,783 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:55,867 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:1 >>>>>
2016-09-27 02:13:55,882 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:0 >>>>>
2016-09-27 02:13:59,000 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:13:59,184 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:13:59,323 : INFO : SwitchController : <<<<< switch: s_middle_drop_target, State:1 >>>>>
2016-09-27 02:13:59,342 : INFO : SwitchController : <<<<< switch: s_right_drop_target, State:1 >>>>>
2016-09-27 02:13:59,353 : INFO : SwitchController : <<<<< switch: s_middle_drop_target, State:0 >>>>>
2016-09-27 02:13:59,363 : INFO : SwitchController : <<<<< switch: s_middle_drop_target, State:1 >>>>>
2016-09-27 02:13:59,586 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:13:59,795 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:00,188 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:00,358 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:00,675 : INFO : SwitchController : <<<<< switch: s_o1_top_lane, State:1 >>>>>
2016-09-27 02:14:00,712 : INFO : SwitchController : <<<<< switch: s_o1_top_lane, State:0 >>>>>
2016-09-27 02:14:01,326 : INFO : SwitchController : <<<<< switch: s_r_top_lane, State:1 >>>>>
2016-09-27 02:14:01,642 : INFO : SwitchController : <<<<< switch: s_r_top_lane, State:0 >>>>>
2016-09-27 02:14:01,877 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:1 >>>>>
2016-09-27 02:14:01,898 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:0 >>>>>
2016-09-27 02:14:01,933 : INFO : SwitchController : <<<<< switch: s_left_top_rubber, State:1 >>>>>
2016-09-27 02:14:01,945 : INFO : SwitchController : <<<<< switch: s_left_top_rubber, State:0 >>>>>
2016-09-27 02:14:02,597 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-27 02:14:02,613 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-27 02:14:04,545 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:1 >>>>>
2016-09-27 02:14:04,575 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:0 >>>>>
2016-09-27 02:14:05,991 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:06,199 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:06,450 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:06,474 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:14:06,493 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:14:06,504 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:08,314 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:08,709 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:09,061 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:09,258 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:09,984 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:10,133 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:10,225 : INFO : SwitchController : <<<<< switch: s_right_target, State:1 >>>>>
2016-09-27 02:14:10,242 : INFO : SwitchController : <<<<< switch: s_right_target, State:0 >>>>>
2016-09-27 02:14:10,632 : INFO : SwitchController : <<<<< switch: s_left_bottom_rubber, State:1 >>>>>
2016-09-27 02:14:10,658 : INFO : SwitchController : <<<<< switch: s_left_bottom_rubber, State:0 >>>>>
2016-09-27 02:14:11,551 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:11,558 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:11,637 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:12,111 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:12,513 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:12,681 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:12,795 : INFO : SwitchController : <<<<< switch: s_right_target, State:1 >>>>>
2016-09-27 02:14:12,807 : INFO : SwitchController : <<<<< switch: s_right_target, State:0 >>>>>
2016-09-27 02:14:13,160 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:13,188 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:14:13,220 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:14:13,288 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:13,368 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:13,414 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:13,465 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:13,949 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:14,866 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:15,082 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:15,586 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-27 02:14:15,605 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-27 02:14:15,706 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:1 >>>>>
2016-09-27 02:14:15,736 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:0 >>>>>
2016-09-27 02:14:15,871 : INFO : SwitchController : <<<<< switch: s_left_bottom_rubber, State:1 >>>>>
2016-09-27 02:14:15,900 : INFO : SwitchController : <<<<< switch: s_left_bottom_rubber, State:0 >>>>>
2016-09-27 02:14:16,734 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:16,804 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:16,926 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-09-27 02:14:16,941 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-09-27 02:14:17,190 : INFO : SwitchController : <<<<< switch: s_s_target, State:1 >>>>>
2016-09-27 02:14:17,435 : INFO : SwitchController : <<<<< switch: s_s_target, State:0 >>>>>
2016-09-27 02:14:18,782 : INFO : SwitchController : <<<<< switch: s_left_inlane_e, State:1 >>>>>
2016-09-27 02:14:18,866 : INFO : SwitchController : <<<<< switch: s_left_inlane_e, State:0 >>>>>
2016-09-27 02:14:19,488 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:19,656 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:19,757 : INFO : SwitchController : <<<<< switch: s_right_target, State:1 >>>>>
2016-09-27 02:14:19,774 : INFO : SwitchController : <<<<< switch: s_left_drop_target, State:1 >>>>>
2016-09-27 02:14:19,789 : INFO : SwitchController : <<<<< switch: s_right_target, State:0 >>>>>
2016-09-27 02:14:19,986 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:20,117 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:20,231 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:20,259 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:14:20,283 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:14:20,290 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:20,298 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:20,337 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:20,836 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-09-27 02:14:20,840 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-09-27 02:14:21,739 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:21,802 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:21,955 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-09-27 02:14:21,974 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-09-27 02:14:22,921 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:1 >>>>>
2016-09-27 02:14:22,938 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:0 >>>>>
2016-09-27 02:14:24,448 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:24,599 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:25,287 : INFO : SwitchController : <<<<< switch: s_o2_top_lane, State:1 >>>>>
2016-09-27 02:14:25,384 : INFO : SwitchController : <<<<< switch: s_o2_top_lane, State:0 >>>>>
2016-09-27 02:14:25,649 : INFO : SwitchController : <<<<< switch: s_top_r_pop_bumper, State:1 >>>>>
2016-09-27 02:14:25,665 : INFO : SwitchController : <<<<< switch: s_top_r_pop_bumper, State:0 >>>>>
2016-09-27 02:14:25,700 : INFO : SwitchController : <<<<< switch: s_right_top2_rubber, State:1 >>>>>
2016-09-27 02:14:25,710 : INFO : SwitchController : <<<<< switch: s_right_top2_rubber, State:0 >>>>>
2016-09-27 02:14:26,123 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:1 >>>>>
2016-09-27 02:14:26,139 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:0 >>>>>
2016-09-27 02:14:26,385 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:1 >>>>>
2016-09-27 02:14:26,410 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:0 >>>>>
2016-09-27 02:14:28,143 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:28,336 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-09-27 02:14:28,354 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-09-27 02:14:28,423 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:28,506 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:28,583 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:28,646 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:28,672 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:28,688 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:28,834 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:29,839 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:30,059 : INFO : SwitchController : <<<<< switch: s_left_target, State:1 >>>>>
2016-09-27 02:14:30,074 : INFO : SwitchController : <<<<< switch: s_middle_target, State:1 >>>>>
2016-09-27 02:14:30,095 : INFO : SwitchController : <<<<< switch: s_left_target, State:0 >>>>>
2016-09-27 02:14:30,099 : INFO : SwitchController : <<<<< switch: s_middle_target, State:0 >>>>>
2016-09-27 02:14:30,232 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:30,354 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:30,361 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:1 >>>>>
2016-09-27 02:14:30,383 : INFO : SwitchController : <<<<< switch: s_right_slingshot, State:0 >>>>>
2016-09-27 02:14:30,388 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:14:30,423 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:14:30,508 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:30,516 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:31,081 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:31,407 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:31,437 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:14:31,466 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:14:32,121 : INFO : SwitchController : <<<<< switch: s_right_drop_target, State:0 >>>>>
2016-09-27 02:14:32,124 : INFO : SwitchController : <<<<< switch: s_middle_drop_target, State:0 >>>>>
2016-09-27 02:14:32,127 : INFO : SwitchController : <<<<< switch: s_left_drop_target, State:0 >>>>>
2016-09-27 02:14:33,913 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:34,596 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:34,884 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:35,117 : INFO : SwitchController : <<<<< switch: s_left_lock_kickout, State:1 >>>>>
2016-09-27 02:14:35,674 : INFO : SwitchController : <<<<< switch: s_left_lock_kickout, State:0 >>>>>
2016-09-27 02:14:36,508 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:37,077 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:1 >>>>>
2016-09-27 02:14:37,085 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:37,106 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:0 >>>>>
2016-09-27 02:14:38,196 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:1 >>>>>
2016-09-27 02:14:38,229 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:0 >>>>>
2016-09-27 02:14:40,281 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:40,442 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:42,213 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:1 >>>>>
2016-09-27 02:14:42,242 : INFO : SwitchController : <<<<< switch: s_left_middle_rubber, State:0 >>>>>
2016-09-27 02:14:43,067 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:43,430 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:43,569 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:43,743 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:43,781 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:43,924 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:45,950 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:14:46,133 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:14:46,188 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:14:46,381 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:14:47,667 : INFO : SwitchController : <<<<< switch: s_drain_kicker, State:1 >>>>>
2016-09-27 02:14:47,837 : INFO : Mode.ball_save : Mode Starting. Priority: 8500
2016-09-27 02:14:47,845 : INFO : Mode.base : Mode Starting. Priority: 100
2016-09-27 02:14:47,969 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:14:48,191 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:14:48,220 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:14:48,340 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:14:48,425 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
